medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
F6F7D02179BE915B23EF2DB57836442D,088879B44B80CC9ED43724776C539370,VTS,CRD,12,0.5,0.5,1.75,0,14.75,1,2013-01-13 04:36asdf,2013-01-13 04:46asdf,5,600,3.12,-73.996933,40.720055,-73.993546,40.693043,4.02401E+15
BE386D8524FCD16B3727DCF0A32D9B25,4EB96EC9F3A42794DEE233EC8A2616CE,VTS,CRD,12,0.5,0.5,3.12,0,16.12,1,2013-01-13 4:37,2013-01-13 4:48,2,660,3.39,-74.000313,40.730068,-73.987373,40.768406,5.16329E+15
E9FF471F36A91031FE5B6D6228674089,72E0B04464AD6513F6A613AABB04E701,VTS,CRD,5.5,0.5,0.5,1.2,0,7.7,1,2013-01-13 4:41,2013-01-13 4:45,1,240,1.16,-73.997292,40.720982,-74.000443,40.732376,4.53204E+15
89D227B655E5C82AECF13C3F540D4CF4,BA96DE419E711691B9445D6A6307C170,CMT,CSH,6.5,0,0.5,0,0,7,1,2013-01-01 15:11,2013-01-01 15:18,4,382,1,-73.978165,40.757977,-73.989838,40.751171,
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,CSH,6,0.5,0.5,0,0,7,1,2013-01-06 0:18,2013-01-06 0:22,1,259,1.5,-74.006683,40.731781,-73.994499,40.75066,
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,CSH,5.5,1,0.5,0,0,7,1,2013-01-05 18:49,2013-01-05 18:54,1,282,1.1,-74.004707,40.73777,-74.009834,40.726002,
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,CSH,5,0.5,0.5,0,0,6,1,2013-01-07 23:54,2013-01-07 23:58,2,244,0.7,-73.974602,40.759945,-73.984734,40.759388,
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,CSH,9.5,0.5,0.5,0,0,10.5,1,2013-01-07 23:25,2013-01-07 23:34,1,560,2.1,-73.97625,40.748528,-74.002586,40.747868,
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,CSH,9.5,0,0.5,0,0,10,1,2013-01-07 15:27,2013-01-07 15:38,1,648,1.7,-73.966743,40.764252,-73.983322,40.743763,
496644932DF3932605C22C7926FF0FE0,513189AD756FF14FE670D10B92FAF04C,CMT,CSH,6,0,0.5,0,0,6.5,1,2013-01-08 11:01,2013-01-08 11:08,1,418,0.8,-73.995804,40.743977,-74.007416,40.744343,
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,CSH,34,0,0.5,0,4.8,39.3,1,2013-01-07 12:39,2013-01-07 13:10,3,1898,10.7,-73.989937,40.756775,-73.86525,40.77063,
2C0E91FF20A856C891483ED63589F982,1DA2F6543A62B8ED934771661A9D2FA0,CMT,CSH,5.5,1,0.5,0,0,7,1,2013-01-07 18:15,2013-01-07 18:20,1,299,0.8,-73.980072,40.743137,-73.982712,40.735336,
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,CSH,13,0,0.5,0,0,13.5,1,2013-01-07 15:33,2013-01-07 15:49,2,957,2.5,-73.977936,40.786983,-73.952919,40.80637,
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,CSH,7.5,0,0.5,0,0,8,1,2013-01-08 13:11,2013-01-08 13:19,1,477,1.3,-73.982452,40.773167,-73.964134,40.773815,
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,CSH,9,0,0.5,0,0,9.5,1,2013-01-08 9:50,2013-01-08 10:02,1,768,0.7,-73.99556,40.749294,-73.988686,40.759052,
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,CSH,9.5,0,0.5,0,0,10,1,2013-01-10 12:07,2013-01-10 12:17,1,620,2.3,-73.971497,40.791321,-73.964478,40.775921,
237F49C3ECC11F5024B254268F054384,93C363DDF8ED9385D65FAD07CE3F5F07,CMT,CSH,10,0,0.5,0,0,10.5,1,2013-01-07 7:35,2013-01-07 7:46,1,612,2.3,-73.98851,40.774307,-73.981094,40.755325,
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,CSH,15.5,0,0.5,0,0,16,1,2013-01-10 15:42,2013-01-10 16:04,1,1293,3.2,-73.994911,40.723221,-73.971558,40.761612,
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,CSH,16.5,0,0.5,0,0,17,1,2013-01-10 14:27,2013-01-10 14:45,1,1073,4.4,-74.010391,40.708702,-73.987846,40.756104,
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,CSH,9,0.5,0.5,0,0,10,1,2013-01-07 22:09,2013-01-07 22:19,1,591,1.7,-73.973732,40.756287,-73.998413,40.756832,
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,CSH,4.5,1,0.5,0,0,6,1,2013-01-07 17:18,2013-01-07 17:20,1,158,0.7,-73.968925,40.767704,-73.96199,40.776566,
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,CSH,7,0,0.5,0,0,7.5,1,2013-01-07 6:08,2013-01-07 6:13,1,262,1.7,-73.96212,40.769737,-73.979561,40.75539,
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,CSH,10.5,0.5,0.5,0,0,11.5,1,2013-01-07 22:25,2013-01-07 22:36,1,669,2.3,-73.989708,40.756714,-73.977615,40.787575,
D8AADA4E722C87C10E609654612630DD,8F1E4F779A4D67431C3FCFA4E70A87DC,CMT,CSH,52,0,0.5,0,4.8,57.3,2,2013-01-10 23:41,2013-01-11 0:09,1,1640,17.5,-73.78331,40.648766,-73.988914,40.748207,
B6FC8357E0D53B0F1FA897D536A20F5C,113A5BA8513934DEE97A342E3535DE96,CMT,CSH,15.5,1,0.5,0,0,17,1,2013-01-07 18:05,2013-01-07 18:23,4,1094,3.8,-73.956505,40.771278,-73.996368,40.73246,
B6FC8357E0D53B0F1FA897D536A20F5C,113A5BA8513934DEE97A342E3535DE96,CMT,CSH,15.5,1,0.5,0,0,18,1,2013-01-07 18:05,2013-01-07 18:23,4,1094,3.8,-73.956505,40.771278,-73.996368,40.73246,
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,CSH,7.5,0,0.5,0,0,8,1,2013-01-08 13:29,2013-01-08 13:37,1,507,1.2,-73.95578,40.77932,-73.967285,40.763344,
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,CSH,8,0.5,0.5,0,0,9,1,2013-01-07 21:13,2013-01-07 21:22,1,568,1.1,-73.978439,40.764679,-73.977684,40.777004,
E9BA494DC1A1F26D186394EFBB8327CF,BBF604B3A2426BFBAAC982AAAA0BF1B5,CMT,CSH,4,0,0.5,0,0,4.5,1,2013-01-01 18:36,2013-01-01 18:39,1,131,0.5,-73.992172,40.749954,-73.99675,40.744553,
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,CSH,7,0,0.5,0,0,7.5,1,2013-01-07 8:17,2013-01-07 8:22,1,340,1.5,-73.992111,40.689701,-74.007156,40.679295,
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,CSH,7,0.5,0.5,0,0,8,1,2013-01-07 22:39,2013-01-07 22:44,1,312,1.5,-73.978653,40.787735,-73.96579,40.805321,
